,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5543,3564967,WHS2_131,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,SEX,2012,SEX_FMLE,,,,,,,960 [480-1710],964.422851563,478.400543213,1714.890136719,,2025-03-19T11:00:50.48+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
5544,3569820,WHS2_131,COUNTRY,PSE,EMR,YEAR,Eastern Mediterranean,SEX,2004,SEX_MLE,,,,,,,970 [660-1260],972.768005371,660.911254883,1258.629150391,,2025-03-19T11:00:50.48+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
5545,3570163,WHS2_131,COUNTRY,ALB,EUR,YEAR,Europe,SEX,2020,SEX_MLE,,,,,,,620 [470-990],623.292724609,468.063812256,994.777099609,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and should be interpreted with caution.",2025-03-19T11:00:50.48+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5546,3570922,WHS2_131,COUNTRY,BIH,EUR,YEAR,Europe,SEX,2006,SEX_BTSX,,,,,,,510 [370-700],506.506958008,367.777038574,695.273864746,,2025-03-19T11:00:50.48+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
5547,3574858,WHS2_131,REGION,AFR,,YEAR,,SEX,2018,SEX_MLE,,,,,,,640 [370-1000],643.348754883,373.62109375,996.354858398,,2025-03-19T11:00:50.48+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
5548,3575221,WHS2_131,COUNTRY,HUN,EUR,YEAR,Europe,SEX,2014,SEX_FMLE,,,,,,,450 [370-540],445.156066895,368.891174316,541.817626953,,2025-03-19T11:00:50.48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5549,3575716,WHS2_131,COUNTRY,HTI,AMR,YEAR,Americas,SEX,2007,SEX_MLE,,,,,,,810 [450-1430],808.054260254,448.719665527,1426.088500977,,2025-03-19T11:00:50.48+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
5550,3576126,WHS2_131,COUNTRY,KOR,WPR,YEAR,Western Pacific,SEX,2016,SEX_BTSX,,,,,,,260 [170-380],258.266540527,168.155502319,378.687042236,,2025-03-19T11:00:50.48+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5551,3577451,WHS2_131,COUNTRY,DNK,EUR,YEAR,Europe,SEX,2017,SEX_MLE,,,,,,,420 [340-530],419.12197876,335.253204346,525.911254883,,2025-03-19T11:00:50.48+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
5552,3580965,WHS2_131,COUNTRY,DOM,AMR,YEAR,Americas,SEX,2005,SEX_FMLE,,,,,,,390 [260-570],392.169433594,261.165985107,568.488525391,,2025-03-19T11:00:50.48+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
5553,3581618,WHS2_131,COUNTRY,HRV,EUR,YEAR,Europe,SEX,2010,SEX_MLE,,,,,,,680 [600-840],682.892150879,599.990844727,842.515625,,2025-03-19T11:00:50.48+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5554,3583765,WHS2_131,COUNTRY,MOZ,AFR,YEAR,Africa,SEX,2016,SEX_FMLE,,,,,,,680 [350-1170],675.525390625,352.492492676,1173.051269531,,2025-03-19T11:00:50.48+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5555,3587983,WHS2_131,COUNTRY,KIR,WPR,YEAR,Western Pacific,SEX,2019,SEX_BTSX,,,,,,,1030 [550-1530],1031.967285156,546.047668457,1532.447875977,,2025-03-19T11:00:50.48+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5556,3588630,WHS2_131,COUNTRY,FRA,EUR,YEAR,Europe,SEX,2010,SEX_MLE,,,,,,,430 [350-530],431.960571289,348.130157471,527.78338623,,2025-03-19T11:00:50.48+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5557,3589551,WHS2_131,COUNTRY,MNE,EUR,YEAR,Europe,SEX,2016,SEX_BTSX,,,,,,,530 [380-700],531.82598877,383.319732666,703.453125,,2025-03-19T11:00:50.48+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5558,3596214,WHS2_131,COUNTRY,OMN,EMR,YEAR,Eastern Mediterranean,SEX,2007,SEX_BTSX,,,,,,,610 [420-870],607.434448242,419.658477783,872.605407715,,2025-03-19T11:00:50.48+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
5559,3601579,WHS2_131,COUNTRY,LBR,AFR,YEAR,Africa,SEX,2012,SEX_BTSX,,,,,,,630 [370-1090],632.31817627,366.596801758,1092.589599609,,2025-03-19T11:00:50.48+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
5560,3607732,WHS2_131,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,SEX,2006,SEX_BTSX,,,,,,,630 [300-920],630.08190918,302.253723145,921.973144531,,2025-03-19T11:00:50.48+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
5561,3608048,WHS2_131,WORLDBANKINCOMEGROUP,WB_UMI,,YEAR,,SEX,2013,SEX_BTSX,,,,,,,550 [430-690],548.424316406,427.756835938,690.880493164,,2025-03-19T11:00:50.48+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
5562,3609150,WHS2_131,COUNTRY,KEN,AFR,YEAR,Africa,SEX,2011,SEX_FMLE,,,,,,,530 [320-940],527.628295898,323.206512451,936.532287598,,2025-03-19T11:00:50.48+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
5563,3612930,WHS2_131,COUNTRY,IRL,EUR,YEAR,Europe,SEX,2021,SEX_BTSX,,,,,,,310 [220-400],307.132751465,223.645935059,401.31930542,,2025-03-19T11:00:50.48+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
5564,3613215,WHS2_131,COUNTRY,COL,AMR,YEAR,Americas,SEX,2016,SEX_BTSX,,,,,,,390 [310-500],389.124298096,305.825469971,495.402954102,,2025-03-19T11:00:50.48+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5565,3613260,WHS2_131,COUNTRY,MMR,SEAR,YEAR,South-East Asia,SEX,2003,SEX_MLE,,,,,,,910 [550-1380],907.286315918,551.478759766,1383.525390625,,2025-03-19T11:00:50.48+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
5566,3613397,WHS2_131,COUNTRY,MNE,EUR,YEAR,Europe,SEX,2005,SEX_BTSX,,,,,,,670 [510-920],671.317138672,508.648895264,919.249328613,,2025-03-19T11:00:50.48+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
5567,3613452,WHS2_131,COUNTRY,HTI,AMR,YEAR,Americas,SEX,2020,SEX_FMLE,,,,,,,880 [480-1560],880.731018066,478.876190186,1555.831787109,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and should be interpreted with caution.",2025-03-19T11:00:50.48+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5568,3614159,WHS2_131,COUNTRY,BEN,AFR,YEAR,Africa,SEX,2021,SEX_FMLE,,,,,,,530 [290-870],532.759155273,293.776184082,866.971984863,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and should be interpreted with caution.",2025-03-19T11:00:50.48+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
5569,3615246,WHS2_131,COUNTRY,ETH,AFR,YEAR,Africa,SEX,2020,SEX_MLE,,,,,,,540 [330-850],537.219299316,334.315765381,852.443908691,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and should be interpreted with caution.",2025-03-19T11:00:50.48+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5570,3619142,WHS2_131,COUNTRY,MDG,AFR,YEAR,Africa,SEX,2006,SEX_BTSX,,,,,,,740 [420-1220],742.87902832,422.167205811,1222.205932617,,2025-03-19T11:00:50.48+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
5571,3620699,WHS2_131,COUNTRY,BRN,WPR,YEAR,Western Pacific,SEX,2009,SEX_BTSX,,,,,,,480 [320-700],481.555114746,323.767272949,695.075744629,,2025-03-19T11:00:50.48+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
5572,3620733,WHS2_131,COUNTRY,MDV,SEAR,YEAR,South-East Asia,SEX,2002,SEX_BTSX,,,,,,,740 [490-1100],741.355285645,490.460327148,1098.083618164,,2025-03-19T11:00:50.48+01:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
